DateKey,Year,Quarter,QuarterName,YearQuarter,MonthNumber,MonthName,MonthShort,YearMonth,Day,DayOfWeekNum,DayName,WeekOfYear,IsWeekend
2009-03-15,2009,1,Q1,2009-Q1,3,March,Mar,2009-03,15,7,Sunday,11,1
2009-03-16,2009,1,Q1,2009-Q1,3,March,Mar,2009-03,16,1,Monday,12,0
2009-03-17,2009,1,Q1,2009-Q1,3,March,Mar,2009-03,17,2,Tuesday,12,0
2009-03-18,2009,1,Q1,2009-Q1,3,March,Mar,2009-03,18,3,Wednesday,12,0
2009-03-19,2009,1,Q1,2009-Q1,3,March,Mar,2009-03,19,4,Thursday,12,0
2009-03-20,2009,1,Q1,2009-Q1,3,March,Mar,2009-03,20,5,Friday,12,0
2009-03-21,2009,1,Q1,2009-Q1,3,March,Mar,2009-03,21,6,Saturday,12,1
2009-03-22,2009,1,Q1,2009-Q1,3,March,Mar,2009-03,22,7,Sunday,12,1
2009-03-23,2009,1,Q1,2009-Q1,3,March,Mar,2009-03,23,1,Monday,13,0
2009-03-24,2009,1,Q1,2009-Q1,3,March,Mar,2009-03,24,2,Tuesday,13,0
2009-03-25,2009,1,Q1,2009-Q1,3,March,Mar,2009-03,25,3,Wednesday,13,0
2009-03-26,2009,1,Q1,2009-Q1,3,March,Mar,2009-03,26,4,Thursday,13,0
2009-03-27,2009,1,Q1,2009-Q1,3,March,Mar,2009-03,27,5,Friday,13,0
2009-03-28,2009,1,Q1,2009-Q1,3,March,Mar,2009-03,28,6,Saturday,13,1
2009-03-29,2009,1,Q1,2009-Q1,3,March,Mar,2009-03,29,7,Sunday,13,1
2009-03-30,2009,1,Q1,2009-Q1,3,March,Mar,2009-03,30,1,Monday,14,0
2009-03-31,2009,1,Q1,2009-Q1,3,March,Mar,2009-03,31,2,Tuesday,14,0
2009-04-01,2009,2,Q2,2009-Q2,4,April,Apr,2009-04,1,3,Wednesday,14,0
2009-04-02,2009,2,Q2,2009-Q2,4,April,Apr,2009-04,2,4,Thursday,14,0
2009-04-03,2009,2,Q2,2009-Q2,4,April,Apr,2009-04,3,5,Friday,14,0
2009-04-04,2009,2,Q2,2009-Q2,4,April,Apr,2009-04,4,6,Saturday,14,1
2009-04-05,2009,2,Q2,2009-Q2,4,April,Apr,2009-04,5,7,Sunday,14,1
2009-04-06,2009,2,Q2,2009-Q2,4,April,Apr,2009-04,6,1,Monday,15,0
2009-04-07,2009,2,Q2,2009-Q2,4,April,Apr,2009-04,7,2,Tuesday,15,0
2009-04-08,2009,2,Q2,2009-Q2,4,April,Apr,2009-04,8,3,Wednesday,15,0
2009-04-09,2009,2,Q2,2009-Q2,4,April,Apr,2009-04,9,4,Thursday,15,0
2009-04-10,2009,2,Q2,2009-Q2,4,April,Apr,2009-04,10,5,Friday,15,0
2009-04-11,2009,2,Q2,2009-Q2,4,April,Apr,2009-04,11,6,Saturday,15,1
2009-04-12,2009,2,Q2,2009-Q2,4,April,Apr,2009-04,12,7,Sunday,15,1
2009-04-13,2009,2,Q2,2009-Q2,4,April,Apr,2009-04,13,1,Monday,16,0
2009-04-14,2009,2,Q2,2009-Q2,4,April,Apr,2009-04,14,2,Tuesday,16,0
2009-04-15,2009,2,Q2,2009-Q2,4,April,Apr,2009-04,15,3,Wednesday,16,0
2009-04-16,2009,2,Q2,2009-Q2,4,April,Apr,2009-04,16,4,Thursday,16,0
2009-04-17,2009,2,Q2,2009-Q2,4,April,Apr,2009-04,17,5,Friday,16,0
2009-04-18,2009,2,Q2,2009-Q2,4,April,Apr,2009-04,18,6,Saturday,16,1
2009-04-19,2009,2,Q2,2009-Q2,4,April,Apr,2009-04,19,7,Sunday,16,1
2009-04-20,2009,2,Q2,2009-Q2,4,April,Apr,2009-04,20,1,Monday,17,0
2009-04-21,2009,2,Q2,2009-Q2,4,April,Apr,2009-04,21,2,Tuesday,17,0
2009-04-22,2009,2,Q2,2009-Q2,4,April,Apr,2009-04,22,3,Wednesday,17,0
2009-04-23,2009,2,Q2,2009-Q2,4,April,Apr,2009-04,23,4,Thursday,17,0
2009-04-24,2009,2,Q2,2009-Q2,4,April,Apr,2009-04,24,5,Friday,17,0
2009-04-25,2009,2,Q2,2009-Q2,4,April,Apr,2009-04,25,6,Saturday,17,1
2009-04-26,2009,2,Q2,2009-Q2,4,April,Apr,2009-04,26,7,Sunday,17,1
2009-04-27,2009,2,Q2,2009-Q2,4,April,Apr,2009-04,27,1,Monday,18,0
2009-04-28,2009,2,Q2,2009-Q2,4,April,Apr,2009-04,28,2,Tuesday,18,0
2009-04-29,2009,2,Q2,2009-Q2,4,April,Apr,2009-04,29,3,Wednesday,18,0
2009-04-30,2009,2,Q2,2009-Q2,4,April,Apr,2009-04,30,4,Thursday,18,0
2009-05-01,2009,2,Q2,2009-Q2,5,May,May,2009-05,1,5,Friday,18,0
2009-05-02,2009,2,Q2,2009-Q2,5,May,May,2009-05,2,6,Saturday,18,1
2009-05-03,2009,2,Q2,2009-Q2,5,May,May,2009-05,3,7,Sunday,18,1
2009-05-04,2009,2,Q2,2009-Q2,5,May,May,2009-05,4,1,Monday,19,0
2009-05-05,2009,2,Q2,2009-Q2,5,May,May,2009-05,5,2,Tuesday,19,0
2009-05-06,2009,2,Q2,2009-Q2,5,May,May,2009-05,6,3,Wednesday,19,0
2009-05-07,2009,2,Q2,2009-Q2,5,May,May,2009-05,7,4,Thursday,19,0
2009-05-08,2009,2,Q2,2009-Q2,5,May,May,2009-05,8,5,Friday,19,0
2009-05-09,2009,2,Q2,2009-Q2,5,May,May,2009-05,9,6,Saturday,19,1
2009-05-10,2009,2,Q2,2009-Q2,5,May,May,2009-05,10,7,Sunday,19,1
2009-05-11,2009,2,Q2,2009-Q2,5,May,May,2009-05,11,1,Monday,20,0
2009-05-12,2009,2,Q2,2009-Q2,5,May,May,2009-05,12,2,Tuesday,20,0
2009-05-13,2009,2,Q2,2009-Q2,5,May,May,2009-05,13,3,Wednesday,20,0
2009-05-14,2009,2,Q2,2009-Q2,5,May,May,2009-05,14,4,Thursday,20,0
2009-05-15,2009,2,Q2,2009-Q2,5,May,May,2009-05,15,5,Friday,20,0
2009-05-16,2009,2,Q2,2009-Q2,5,May,May,2009-05,16,6,Saturday,20,1
2009-05-17,2009,2,Q2,2009-Q2,5,May,May,2009-05,17,7,Sunday,20,1
2009-05-18,2009,2,Q2,2009-Q2,5,May,May,2009-05,18,1,Monday,21,0
2009-05-19,2009,2,Q2,2009-Q2,5,May,May,2009-05,19,2,Tuesday,21,0
2009-05-20,2009,2,Q2,2009-Q2,5,May,May,2009-05,20,3,Wednesday,21,0
2009-05-21,2009,2,Q2,2009-Q2,5,May,May,2009-05,21,4,Thursday,21,0
2009-05-22,2009,2,Q2,2009-Q2,5,May,May,2009-05,22,5,Friday,21,0
2009-05-23,2009,2,Q2,2009-Q2,5,May,May,2009-05,23,6,Saturday,21,1
2009-05-24,2009,2,Q2,2009-Q2,5,May,May,2009-05,24,7,Sunday,21,1
2009-05-25,2009,2,Q2,2009-Q2,5,May,May,2009-05,25,1,Monday,22,0
2009-05-26,2009,2,Q2,2009-Q2,5,May,May,2009-05,26,2,Tuesday,22,0
2009-05-27,2009,2,Q2,2009-Q2,5,May,May,2009-05,27,3,Wednesday,22,0
2009-05-28,2009,2,Q2,2009-Q2,5,May,May,2009-05,28,4,Thursday,22,0
2009-05-29,2009,2,Q2,2009-Q2,5,May,May,2009-05,29,5,Friday,22,0
2009-05-30,2009,2,Q2,2009-Q2,5,May,May,2009-05,30,6,Saturday,22,1
2009-05-31,2009,2,Q2,2009-Q2,5,May,May,2009-05,31,7,Sunday,22,1
2009-06-01,2009,2,Q2,2009-Q2,6,June,Jun,2009-06,1,1,Monday,23,0
2009-06-02,2009,2,Q2,2009-Q2,6,June,Jun,2009-06,2,2,Tuesday,23,0
2009-06-03,2009,2,Q2,2009-Q2,6,June,Jun,2009-06,3,3,Wednesday,23,0
